DAY,TIME,REGISTRATION_QUEUE,SERVICE_QUEUE,WAIT_TIME
MON,07:00:00,8,0,10
MON,07:10:00,9,2,20
MON,07:20:00,10,4,20
MON,07:30:00,10,6,30
MON,07:40:00,10,8,30
MON,07:50:00,10,10,30
MON,08:00:00,10,12,40
MON,08:10:00,10,14,40
MON,08:20:00,10,16,40
MON,08:30:00,10,18,50
MON,08:40:00,10,20,50
MON,08:50:00,10,22,50
MON,09:00:00,10,24,60
MON,09:10:00,11,26,60
MON,09:20:00,12,28,70
MON,09:30:00,12,30,70
MON,09:40:00,13,32,80
MON,09:50:00,13,34,80
MON,10:00:00,13,36,80
MON,10:10:00,13,38,80
MON,10:20:00,14,40,90
MON,10:30:00,14,42,90
MON,10:40:00,14,44,100
MON,10:50:00,14,46,100
MON,11:00:00,14,48,100
MON,11:10:00,14,50,110
MON,11:20:00,14,52,110
MON,11:30:00,14,54,110
MON,11:40:00,14,56,120
MON,11:50:00,14,58,120
MON,12:00:00,14,60,120
MON,12:10:00,13,62,120
MON,12:20:00,12,64,130
MON,12:30:00,11,66,130
MON,12:40:00,10,68,130
MON,12:50:00,9,70,130
MON,13:00:00,7,72,130
MON,13:10:00,7,66,120
MON,13:20:00,7,60,110
MON,13:30:00,7,54,100
MON,13:40:00,7,48,90
MON,13:50:00,6,42,80
MON,14:00:00,6,36,70
MON,14:10:00,6,30,60
MON,14:20:00,6,24,50
MON,14:30:00,6,18,40
MON,14:40:00,6,12,30
MON,14:50:00,6,6,20
MON,15:00:00,5,0,10
TUE,07:00:00,8,0,10
TUE,07:10:00,9,2,20
TUE,07:20:00,10,4,20
TUE,07:30:00,11,6,30
TUE,07:40:00,11,8,30
TUE,07:50:00,11,10,30
TUE,08:00:00,11,12,40
TUE,08:10:00,11,14,40
TUE,08:20:00,11,16,50
TUE,08:30:00,11,18,50
TUE,08:40:00,11,20,50
TUE,08:50:00,11,22,50
TUE,09:00:00,11,24,60
TUE,09:10:00,11,26,60
TUE,09:20:00,11,28,70
TUE,09:30:00,11,30,70
TUE,09:40:00,11,32,70
TUE,09:50:00,11,34,70
TUE,10:00:00,11,36,80
TUE,10:10:00,11,38,80
TUE,10:20:00,11,40,90
