DAY,TIME,REGISTRATION_QUEUE,SERVICE_QUEUE,WAIT_TIME
MON,07:00:00,2,0,0
MON,07:10:00,2,0,0
MON,07:20:00,3,0,10
MON,07:30:00,5,0,10
MON,07:40:00,8,0,20
MON,07:50:00,10,0,20
MON,08:00:00,12,0,30
MON,08:10:00,13,0,30
MON,08:20:00,14,0,40
MON,08:30:00,15,0,40
MON,08:40:00,16,0,40
MON,08:50:00,17,0,40
MON,09:00:00,18,0,40
MON,09:10:00,19,0,50
MON,09:20:00,19,0,50
MON,09:30:00,19,0,50
MON,09:40:00,19,0,50
MON,09:50:00,19,0,50
MON,10:00:00,19,0,50
MON,10:10:00,20,0,50
MON,10:20:00,20,0,50
MON,10:30:00,20,0,50
MON,10:40:00,20,0,50
MON,10:50:00,20,0,50
MON,11:00:00,20,0,50
MON,11:10:00,20,0,50
MON,11:20:00,20,0,50
MON,11:30:00,20,0,50
MON,11:40:00,20,0,50
MON,11:50:00,20,0,50
MON,12:00:00,20,0,50
MON,12:10:00,20,0,50
MON,12:20:00,19,0,50
MON,12:30:00,19,0,50
MON,12:40:00,19,0,50
MON,12:50:00,19,0,50
MON,13:00:00,18,0,40
MON,13:10:00,18,0,40
MON,13:20:00,18,0,40
MON,13:30:00,18,0,40
MON,13:40:00,18,0,40
MON,13:50:00,17,0,40
MON,14:00:00,17,0,40
MON,14:10:00,16,0,40
MON,14:20:00,16,0,40
MON,14:30:00,16,0,40
MON,14:40:00,16,0,40
MON,14:50:00,15,0,40
MON,15:00:00,14,0,40
TUE,07:00:00,2,0,0
TUE,07:10:00,2,0,0
TUE,07:20:00,3,0,10
TUE,07:30:00,6,0,20
TUE,07:40:00,9,0,20
TUE,07:50:00,12,0,30
TUE,08:00:00,14,0,40
TUE,08:10:00,16,0,40
TUE,08:20:00,17,0,40
TUE,08:30:00,18,0,40
TUE,08:40:00,19,0,50
TUE,08:50:00,20,0,50
TUE,09:00:00,21,0,50
TUE,09:10:00,22,0,60
TUE,09:20:00,22,0,60
TUE,09:30:00,22,0,60
TUE,09:40:00,22,0,60
TUE,09:50:00,22,0,60
TUE,10:00:00,23,0,60
TUE,10:10:00,24,0,60
TUE,10:20:00,24,0,60
TUE,10:30:00,24,0,60
TUE,10:40:00,24,0,60
TUE,10:50:00,24,0,60
TUE,11:00:00,24,0,60
TUE,11:10:00,24,0,60
TUE,11:20:00,24,0,60
TUE,11:30:00,24,0,60
TUE,11:40:00,24,0,60
TUE,11:50:00,24,0,60
TUE,12:00:00,24,0,60
TUE,12:10:00,24,0,60
TUE,12:20:00,23,0,60
TUE,12:30:00,23,0,60
TUE,12:40:00,23,0,60
TUE,12:50:00,23,0,60
TUE,13:00:00,23,0,60
TUE,13:10:00,23,0,60
TUE,13:20:00,23,0,60
TUE,13:30:00,23,0,60
TUE,13:40:00,23,0,60
TUE,13:50:00,23,0,60
TUE,14:00:00,23,0,60
TUE,14:10:00,23,0,60
TUE,14:20:00,23,0,60
TUE,14:30:00,23,0,60
TUE,14:40:00,23,0,60
TUE,14:50:00,23,0,60
TUE,15:00:00,22,0,60
WED,07:00:00,2,0,0
WED,07:10:00,2,0,0
WED,07:20:00,3,0,10
WED,07:30:00,5,0,10
WED,07:40:00,8,0,20
WED,07:50:00,10,0,20
WED,08:00:00,12,0,30
WED,08:10:00,13,0,30
WED,08:20:00,14,0,40
WED,08:30:00,15,0,40
WED,08:40:00,16,0,40
WED,08:50:00,17,0,40
WED,09:00:00,18,0,40
WED,09:10:00,19,0,50
WED,09:20:00,19,0,50
WED,09:30:00,19,0,50
WED,09:40:00,19,0,50
WED,09:50:00,19,0,50
WED,10:00:00,19,0,50
WED,10:10:00,20,0,50
WED,10:20:00,20,0,50
WED,10:30:00,20,0,50
WED,10:40:00,20,0,50
WED,10:50:00,20,0,50
WED,11:00:00,20,0,50
WED,11:10:00,20,0,50
WED,11:20:00,20,0,50
WED,11:30:00,20,0,50
WED,11:40:00,20,0,50
WED,11:50:00,20,0,50
WED,12:00:00,20,0,50
WED,12:10:00,19,0,50
WED,12:20:00,18,0,40
WED,12:30:00,18,0,40
WED,12:40:00,18,0,40
WED,12:50:00,17,0,40
WED,13:00:00,16,0,40
WED,13:10:00,16,0,40
WED,13:20:00,15,0,40
WED,13:30:00,15,0,40
WED,13:40:00,15,0,40
WED,13:50:00,14,0,40
WED,14:00:00,13,0,30
WED,14:10:00,13,0,30
WED,14:20:00,13,0,30
WED,14:30:00,13,0,30
WED,14:40:00,13,0,30
WED,14:50:00,12,0,30
WED,15:00:00,10,0,20
THU,07:00:00,2,0,0
THU,07:10:00,2,0,0
THU,07:20:00,2,0,0
THU,07:30:00,5,0,10
THU,07:40:00,8,0,20
THU,07:50:00,10,0,20
THU,08:00:00,12,0,30
THU,08:10:00,13,0,30
THU,08:20:00,14,0,40
THU,08:30:00,15,0,40
THU,08:40:00,16,0,40
THU,08:50:00,17,0,40
THU,09:00:00,18,0,40
THU,09:10:00,19,0,50
THU,09:20:00,19,0,50
THU,09:30:00,19,0,50
THU,09:40:00,19,0,50
THU,09:50:00,19,0,50
THU,10:00:00,19,0,50
THU,10:10:00,19,0,50
THU,10:20:00,19,0,50
THU,10:30:00,19,0,50
THU,10:40:00,19,0,50
THU,10:50:00,19,0,50
THU,11:00:00,19,0,50
THU,11:10:00,19,0,50
THU,11:20:00,19,0,50
THU,11:30:00,19,0,50
THU,11:40:00,19,0,50
THU,11:50:00,19,0,50
THU,12:00:00,19,0,50
THU,12:10:00,19,0,50
THU,12:20:00,19,0,50
THU,12:30:00,19,0,50
THU,12:40:00,19,0,50
THU,12:50:00,18,0,40
THU,13:00:00,18,0,40
THU,13:10:00,18,0,40
THU,13:20:00,18,0,40
THU,13:30:00,18,0,40
THU,13:40:00,18,0,40
THU,13:50:00,18,0,40
THU,14:00:00,18,0,40
THU,14:10:00,18,0,40
THU,14:20:00,18,0,40
THU,14:30:00,18,0,40
THU,14:40:00,18,0,40
THU,14:50:00,18,0,40
THU,15:00:00,17,0,40
FRI,07:00:00,2,0,0
FRI,07:10:00,2,0,0
FRI,07:20:00,2,0,0
FRI,07:30:00,5,0,10
FRI,07:40:00,8,0,20
FRI,07:50:00,10,0,20
FRI,08:00:00,12,0,30
FRI,08:10:00,14,0,40
FRI,08:20:00,15,0,40
FRI,08:30:00,16,0,40
FRI,08:40:00,17,0,40
FRI,08:50:00,18,0,40
FRI,09:00:00,19,0,50
FRI,09:10:00,20,0,50
FRI,09:20:00,21,0,50
FRI,09:30:00,21,0,50
FRI,09:40:00,21,0,50
FRI,09:50:00,21,0,50
FRI,10:00:00,21,0,50
FRI,10:10:00,21,0,50
FRI,10:20:00,21,0,50
FRI,10:30:00,21,0,50
FRI,10:40:00,21,0,50
FRI,10:50:00,21,0,50
FRI,11:00:00,21,0,50
FRI,11:10:00,21,0,50
FRI,11:20:00,21,0,50
FRI,11:30:00,21,0,50
FRI,11:40:00,21,0,50
FRI,11:50:00,21,0,50
FRI,12:00:00,21,0,50
FRI,12:10:00,21,0,50
FRI,12:20:00,20,0,50
FRI,12:30:00,20,0,50
FRI,12:40:00,19,0,50
FRI,12:50:00,18,0,40
FRI,13:00:00,17,0,40
FRI,13:10:00,16,0,40
FRI,13:20:00,16,0,40
FRI,13:30:00,15,0,40
FRI,13:40:00,14,0,40
FRI,13:50:00,13,0,30
FRI,14:00:00,12,0,30
FRI,14:10:00,12,0,30
FRI,14:20:00,12,0,30
FRI,14:30:00,12,0,30
FRI,14:40:00,12,0,30
FRI,14:50:00,11,0,30
FRI,15:00:00,10,0,20
